"","Site","ID","ID_Year","Site_Lat","Lat","Long","Year","SPEI_lag0","CMDA_lag0","MAPA_lag0","MATA_lag0"
"1",1,"S02","S02_2010","1_32.9",32.89928,-116.5849,"2010",0.897903144359589,-30.53333333333,0.0641486844635031,-0.583055555555601
"2",12,"S11","S11_2010","12_34.1",34.07808,-116.87558,"2010",0.864541113376617,-25.366666666667,0.0704700157294433,-0.637777777777771
"3",2,"S07","S07_2010","2_34.3",34.28425,-117.37539,"2010",0.953803718090057,-27.033333333333,0.0641489599675817,-0.654722222222201
"4",3,"S10","S10_2010","3_36.2",36.20081,-118.65092,"2010",1.11241710186005,-34.3,0.0164184433239223,-0.5341666666667
"5",4,"S08","S08_2010","4_36.7",36.69096,-118.90961,"2010",0.993451297283173,-17.4,0.0195200064211352,-0.60027777777773
"6",5,"S32","S32_2010","5_37.5",37.539,-119.654,"2010",1.47927594184875,-50.6,-0.0217087410856052,-0.529722222222199
"7",6,"S29","S29_2010","6_39.4",39.39442,-121.08302,"2010",0.591788411140442,-98.833333333333,-0.0110237686341361,-0.4572222222222
"8",7,"S18","S18_2010","7_39.7",39.74298,-120.70401,"2010",0.330176442861557,-59.466666666667,-0.0167676149902043,-0.52222222222222
"9",8,"S17","S17_2010","8_41.7",41.66546,-123.11341,"2010",-0.0135957170277834,-69.4,-0.0238711723976341,-0.4125
"10",9,"S16","S16_2010","9_41.8",41.80979,-123.11887,"2010",-0.0135957170277834,-101.066666666667,-0.0515347942608297,-0.407777777777701
"11",10,"S36","S36_2010","10_42.3",42.27411,-123.63617,"2010",0.0827603042125702,-119.666666666667,-0.027476367760805,-0.4025
"12",11,"S15","S15_2010","11_43.4",43.37876,-122.95207,"2010",0.715335011482239,-82.033333333333,0.0306331769552504,-0.34527777777773
"13",1,"S02","S02_2011","1_32.9",32.89928,-116.5849,"2011",0.510002851486206,-155.53333333333,0.057536460818266,-0.224722222222201
"14",12,"S11","S11_2011","12_34.1",34.07808,-116.87558,"2011",0.639967262744904,-130.366666666667,0.0642894754439833,-0.287777777777769
"15",2,"S07","S07_2011","2_34.3",34.28425,-117.37539,"2011",0.716030359268188,-143.033333333333,0.0506768438873371,-0.363055555555501
"16",3,"S10","S10_2011","3_36.2",36.20081,-118.65092,"2011",1.18173742294312,-80.3,0.0558636163311421,-0.400833333333399
"17",4,"S08","S08_2011","4_36.7",36.69096,-118.90961,"2011",1.25245761871338,-68.4,0.0730454693250855,-0.425277777777731
"18",5,"S32","S32_2011","5_37.5",37.539,-119.654,"2011",1.64948976039886,-76.6,0.0990087822795633,-0.2463888888889
"19",6,"S29","S29_2011","6_39.4",39.39442,-121.08302,"2011",0.85214638710022,-80.833333333333,0.0776719406799491,-0.1905555555555
"20",7,"S18","S18_2011","7_39.7",39.74298,-120.70401,"2011",1.13096833229065,-85.466666666667,0.0889375392474228,-0.238888888888891
"21",8,"S17","S17_2011","8_41.7",41.66546,-123.11341,"2011",0.638083934783936,-70.4,0.0213563675397426,-0.2708333333333
"22",9,"S16","S16_2011","9_41.8",41.80979,-123.11887,"2011",0.638083934783936,-90.0666666666669,0.0532005562591835,-0.2744444444444
"23",10,"S36","S36_2011","10_42.3",42.27411,-123.63617,"2011",0.742862224578857,-86.666666666667,0.0594522573949923,-0.419166666666699
"24",11,"S15","S15_2011","11_43.4",43.37876,-122.95207,"2011",1.11125934123993,2.96666666666698,0.0721124986430515,-0.37861111111107
"25",1,"S02","S02_2012","1_32.9",32.89928,-116.5849,"2012",-0.570622563362122,-73.53333333333,-0.128665814283422,-0.0830555555556014
"26",12,"S11","S11_2012","12_34.1",34.07808,-116.87558,"2012",-0.353682160377502,-149.366666666667,-0.142809416764766,-0.0544444444444405
"27",2,"S07","S07_2012","2_34.3",34.28425,-117.37539,"2012",-0.55778968334198,-103.033333333333,-0.200922708225777,-0.138055555555502
"28",3,"S10","S10_2012","3_36.2",36.20081,-118.65092,"2012",-0.322444051504135,-63.3,-0.176764453504606,0.0241666666666003
"29",4,"S08","S08_2012","4_36.7",36.69096,-118.90961,"2012",-0.518129110336304,-40.4,-0.172270352844262,-0.00027777777770055
"30",5,"S32","S32_2012","5_37.5",37.539,-119.654,"2012",0.291123420000076,-19.6,-0.179451255228453,0.1702777777778
"31",6,"S29","S29_2012","6_39.4",39.39442,-121.08302,"2012",-0.964013934135437,-3.83333333333303,-0.167686475851491,0.151111111111101
"32",7,"S18","S18_2012","7_39.7",39.74298,-120.70401,"2012",-0.942047834396362,37.533333333333,-0.189063002233921,0.12777777777778
"33",8,"S17","S17_2012","8_41.7",41.66546,-123.11341,"2012",-0.263492614030838,-23.4,-0.0455904220908705,-0.0458333333332988
"34",9,"S16","S16_2012","9_41.8",41.80979,-123.11887,"2012",-0.263492614030838,-36.0666666666669,-0.0283735029043317,-0.0661111111111001
"35",10,"S36","S36_2012","10_42.3",42.27411,-123.63617,"2012",-0.0429966598749161,-30.666666666667,-0.00957708385209566,-0.302499999999998
"36",11,"S15","S15_2012","11_43.4",43.37876,-122.95207,"2012",-0.00843239761888981,23.966666666667,-0.0118888065087317,-0.220277777777699
"37",1,"S02","S02_2013","1_32.9",32.89928,-116.5849,"2013",-0.979796886444092,-20.53333333333,-0.144770181074191,0.291944444444399
"38",12,"S11","S11_2013","12_34.1",34.07808,-116.87558,"2013",-0.758017361164093,-33.366666666667,-0.169862139580926,0.37055555555556
"39",2,"S07","S07_2013","2_34.3",34.28425,-117.37539,"2013",-0.888030290603638,19.966666666667,-0.236304666027326,0.3369444444445
"40",3,"S10","S10_2013","3_36.2",36.20081,-118.65092,"2013",-0.929113626480103,68.7,-0.265602194905883,0.6075
"41",4,"S08","S08_2013","4_36.7",36.69096,-118.90961,"2013",-0.836064994335175,89.6,-0.249325305871445,0.616388888888899
"42",5,"S32","S32_2013","5_37.5",37.539,-119.654,"2013",-0.787822067737579,122.4,-0.19844675302612,0.7869444444444
"43",6,"S29","S29_2013","6_39.4",39.39442,-121.08302,"2013",-0.891039669513702,73.166666666667,-0.105810088012337,0.6844444444445
"44",7,"S18","S18_2013","7_39.7",39.74298,-120.70401,"2013",-0.682471871376038,40.533333333333,-0.118679155236754,0.569444444444439
"45",8,"S17","S17_2013","8_41.7",41.66546,-123.11341,"2013",-0.368446826934814,41.6,-0.008266099067058,0.595833333333401
"46",9,"S16","S16_2013","9_41.8",41.80979,-123.11887,"2013",-0.368446826934814,-15.0666666666669,-0.0336845633136171,0.617222222222299
"47",10,"S36","S36_2013","10_42.3",42.27411,-123.63617,"2013",-0.29145610332489,-48.666666666667,-0.0271719201620049,0.464166666666701
"48",11,"S15","S15_2013","11_43.4",43.37876,-122.95207,"2013",0.1042250841856,-2.03333333333302,0.00980907810001286,0.571388888888901
"49",1,"S02","S02_2014","1_32.9",32.89928,-116.5849,"2014",-1.71235299110413,33.46666666667,-0.26016359977626,1.2252777777778
"50",12,"S11","S11_2014","12_34.1",34.07808,-116.87558,"2014",-1.43719935417175,60.633333333333,-0.304486086021905,1.24555555555556
"51",2,"S07","S07_2014","2_34.3",34.28425,-117.37539,"2014",-1.68500936031342,74.966666666667,-0.359327676186081,1.2286111111111
"52",3,"S10","S10_2014","3_36.2",36.20081,-118.65092,"2014",-1.79878914356232,67.7,-0.341633008451538,1.2575
"53",4,"S08","S08_2014","4_36.7",36.69096,-118.90961,"2014",-1.81904125213623,63.6,-0.3313795137648,1.2580555555556
"54",5,"S32","S32_2014","5_37.5",37.539,-119.654,"2014",-1.85744953155518,74.4,-0.317599097097176,1.3702777777778
"55",6,"S29","S29_2014","6_39.4",39.39442,-121.08302,"2014",-1.78714179992676,59.166666666667,-0.278968895130484,1.1094444444445
"56",7,"S18","S18_2014","7_39.7",39.74298,-120.70401,"2014",-1.44095611572266,43.533333333333,-0.250945552070279,0.986111111111109
"57",8,"S17","S17_2014","8_41.7",41.66546,-123.11341,"2014",-1.43765187263489,70.6,-0.217525721375394,0.745833333333401
"58",9,"S16","S16_2014","9_41.8",41.80979,-123.11887,"2014",-1.43765187263489,67.9333333333331,-0.149965980389419,0.7505555555556
"59",10,"S36","S36_2014","10_42.3",42.27411,-123.63617,"2014",-1.37744677066803,72.333333333333,-0.126982838719764,0.5558333333333
"60",11,"S15","S15_2014","11_43.4",43.37876,-122.95207,"2014",-1.21776401996613,7.96666666666698,-0.101890282799425,0.5630555555556
"61",1,"S02","S02_2015","1_32.9",32.89928,-116.5849,"2015",-1.32143545150757,85.46666666667,-0.0972789777045149,1.6086111111111
"62",12,"S11","S11_2015","12_34.1",34.07808,-116.87558,"2015",-0.612575829029083,-37.366666666667,-0.0659485385622864,1.61222222222226
"63",2,"S07","S07_2015","2_34.3",34.28425,-117.37539,"2015",-0.87846302986145,46.966666666667,-0.125117055018484,1.5786111111111
"64",3,"S10","S10_2015","3_36.2",36.20081,-118.65092,"2015",-0.725175499916077,5.70000000000005,-0.154601763331844,1.6658333333333
"65",4,"S08","S08_2015","4_36.7",36.69096,-118.90961,"2015",-0.572997868061066,11.6,-0.155929279891038,1.7163888888889
"66",5,"S32","S32_2015","5_37.5",37.539,-119.654,"2015",-1.39419627189636,64.4,-0.147222321565923,1.8536111111111
"67",6,"S29","S29_2015","6_39.4",39.39442,-121.08302,"2015",-1.15894889831543,93.166666666667,-0.117742005593078,2.0261111111111
"68",7,"S18","S18_2015","7_39.7",39.74298,-120.70401,"2015",-0.915021002292633,57.533333333333,-0.13144092992606,1.96944444444441
"69",8,"S17","S17_2015","8_41.7",41.66546,-123.11341,"2015",-0.954249262809753,115.6,-0.128125310146083,1.9958333333334
"70",9,"S16","S16_2015","9_41.8",41.80979,-123.11887,"2015",-0.954249262809753,84.9333333333331,-0.0803065368308542,2.0005555555556
"71",10,"S36","S36_2015","10_42.3",42.27411,-123.63617,"2015",-0.92888617515564,126.333333333333,-0.0716800302528586,1.8475
"72",11,"S15","S15_2015","11_43.4",43.37876,-122.95207,"2015",-1.22249329090118,158.966666666667,-0.0876846081020357,1.8797222222223
