Site,ID,ID2,Site_Lat,Lat,Long,Region,Lat_spei,Long_spei,SPEI_auto,CMDA_auto,MAPA_auto,MATA_auto,SPEI_mean,CMDA_mean,MAPA_mean,MATA_mean,change_SLA_W,change_SLA_D,change_DF_W,change_DF_D,abs_change_SLA_W,abs_change_SLA_D,abs_change_DF_W,abs_change_DF_D,time_range
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,South,32.75,-116.75,0.30789087212835836,-0.28688343774816916,0.27505510982228254,0.14492753623182555,-0.03562836349010476,-70.03333333333,0.03793771251896098,-0.1497222222222511,-36.910212860369654,-27.537845824987073,-11.09375,-4.174999999999997,36.910212860369654,27.537845824987073,11.09375,4.174999999999997,2010_2013
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,0.3065144413164748,-0.24687066068302102,0.28029981901422113,0.19306682616145343,0.0982022136449815,-84.61666666666699,0.04447801629306635,-0.15236111111110512,-9.31954980868241,-19.603474449353087,-2.607142857142861,1.3095238095238102,9.31954980868241,19.603474449353087,2.607142857142861,1.3095238095238102,2010_2013
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,Centre,39.25,-121.25,0.28269444765336216,-0.08803290949887807,0.2571963490952628,0.23313474680215673,0.260649211704733,-27.299999999999997,0.09252114718885615,-0.07583333333337466,-42.742588080736624,-26.173582686801012,-4.275000000000006,-0.5714285714285694,42.742588080736624,26.173582686801012,4.275000000000006,0.5714285714285694,2010_2013
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,Centre,39.75,-120.75,0.18848375853736873,0.26425369428375844,-0.09970063715615615,0.22175841999805596,-0.10277970135211925,-27.58333333333301,0.051712097954503745,0.046944444444475264,32.29555877443897,-10.785381676162842,-1.2999999999999972,4.523809523809518,32.29555877443897,10.785381676162842,1.2999999999999972,4.523809523809518,2010_2013
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,-0.015738003944832036,0.18123153094972505,-0.11854292856647752,0.2464466346777361,-0.04084373265504823,-16.716666666667003,0.058893058303364124,-0.01597222222222302,33.4572233967304,4.331467319834218,4.494930875576031,2.4141414141414117,33.4572233967304,4.331467319834218,4.494930875576031,2.4141414141414117,2010_2013
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,South,34.25,-116.75,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,-22.32723369899773,27.477688907428615,0.4729166666666629,-4.80416666666666,22.32723369899773,27.477688907428615,0.4729166666666629,4.80416666666666,2010_2013
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,South,32.75,-116.75,0.15686012039281616,0.21875802887826937,0.04204399168952972,0.15454588669915612,-0.6881923973560344,-54.033333333330006,0.11901578357890176,0.3023611111110991,2.693622717401695,-11.176512419582536,-1.7592592592592524,1.709753231492357,2.693622717401695,11.176512419582536,1.7592592592592524,1.709753231492357,2011_2014
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,South,34.25,-117.25,0.11857049745166631,0.30624108785877596,0.0665140579356516,0.19712322385279413,-0.6036997437477125,-37.783333333333,0.18646955163796172,0.26611111111114927,8.891917234446083,-31.891470134501816,8.125,0.13888888888888573,8.891917234446083,31.891470134501816,8.125,0.13888888888888573,2011_2014
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,0.16649372023256234,0.27306913142567746,0.15885585680735256,0.25384482508833067,-0.4671523496508595,-1.7999999999999972,0.18203401013272122,0.37208333333330035,-11.643127838298142,11.257478161742256,-1.2304147465437723,3.808333333333337,11.643127838298142,11.257478161742256,1.2304147465437723,3.808333333333337,2011_2014
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,Centre,36.75,-118.75,0.08617839870641658,0.23323179252137946,0.13599085610131398,0.26010339353896095,-0.48019443452358224,11.099999999999998,0.1699824257888554,0.3622222222222668,-41.67535352344734,6.835438758613492,-8.875,-5.375,41.67535352344734,6.835438758613492,8.875,5.375,2011_2014
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,North,41.75,-123.25,0.04818861044896493,0.2889401681226307,-0.17707106757876956,0.3078320186059893,-0.3578768447041515,4.599999999999998,0.06250646874839498,0.2562500000000508,-20.010579710441107,39.38640184764225,-4.299999999999997,-2.6875,20.010579710441107,39.38640184764225,4.299999999999997,2.6875,2011_2014
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,North,42.25,-123.75,0.10530945537032631,-0.12815459547217462,0.08460751974763434,0.29474782804918714,-0.24225932732224478,-23.416666666667,0.026069896334718068,0.074583333333326,19.221588240488472,35.92483942009335,0.12698412698412653,4.125356125356134,19.221588240488472,35.92483942009335,0.12698412698412653,4.125356125356134,2011_2014
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,-5.169015804469183,59.462372315977206,1.1310160427807432,-2.847593582887697,5.169015804469183,59.462372315977206,1.1310160427807432,2.847593582887697,2012_2015
5,S32,Wawona,5_37.5,37.539,-119.654,Centre,35.75,-119.75,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,-25.5942194327759,13.15902881792502,0.4347826086956559,-0.05131578947369064,25.5942194327759,13.15902881792502,0.4347826086956559,0.05131578947369064,2012_2015
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,-42.35681151361237,-20.442365117309066,-4.071428571428569,1.5629629629629562,42.35681151361237,20.442365117309066,4.071428571428569,1.5629629629629562,2012_2015
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,North,42.25,-123.75,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,20.71082262934391,-19.554686653462625,2.2285714285714278,-0.6316602316602342,20.71082262934391,19.554686653462625,2.2285714285714278,0.6316602316602342,2012_2015
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,North,43.25,-122.75,-0.12902501790534224,0.3062632696390659,-0.48334548062345134,0.12368949364261328,-0.0018628058023748579,-60.566666666666926,0.01509807605489875,-0.032777777777725524,31.08734034891404,-28.22505843623418,0.7992424242424221,-0.23109243697479087,31.08734034891404,28.22505843623418,0.7992424242424221,0.23109243697479087,2012_2015
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,0.10530945537032631,-0.12815459547217462,0.08460751974763434,0.29474782804918714,-0.24225932732224478,-23.416666666667,0.026069896334718068,0.074583333333326,-4.2388803299633935,24.23798862490088,-0.4375,-2.0416666666666714,4.2388803299633935,24.23798862490088,0.4375,2.0416666666666714,2013_2016
