Old Results,,,,,,New Results,,,,
SLA,,,,,,SLA,,,,
North,,,,,,North,,,,
,SPEI,CMDA,MAPA,MATA,,,SPEI,CMDA,MAPA,MATA
lag0,8.42,14.42,0.84,31.23,,lag0,8.42,14.42,0.84,31.23
lag1,12.91,12.14,2.91,28.9,,lag1,12.91,12.14,2.91,28.9
lag2,11.09,10.61,0,25.8,,lag2,11.09,10.61,0,25.8
2-year,13.97,13.81,2.89,34.06,,2-year,13.97,16.58,5.66,34.06
3-year,15.17,13.43,1.33,35.36,,3-year,15.17,17.83,5.72,35.36
,,,,,,,,,,
Centre,,,,,,,,,,
,SPEI,CMDA,MAPA,MATA,,,SPEI,CMDA,MAPA,MATA
lag0,8.89,9.64,2.54,27.29,,lag0,8.36,9.11,2,26.75
lag1,7.81,8.2,0.53,28.43,,lag1,7.28,7.67,0,27.9
lag2,7.08,8.87,1.97,27.13,,lag2,6.55,8.34,1.44,26.6
2-year,10.61,8.62,2.31,29.89,,2-year,10.08,10.86,4.55,29.36
3-year,9.43,8.39,0,28.98,,3-year,8.9,12.25,3.86,28.45
,,,,,,,,,,
South,,,,,,,,,,
,SPEI,CMDA,MAPA,MATA,,,SPEI,CMDA,MAPA,MATA
lag0,10.09,5.15,4.62,30.98,,lag0,5.7,0.75,0.22,26.59
lag1,12.65,13.73,4.97,31.73,,lag1,8.25,9.33,0.58,27.34
lag2,13.05,14.22,6.17,34.37,,lag2,8.66,9.82,1.77,29.98
2-year,12.82,8.68,2.83,33.37,,2-year,8.43,7.06,1.21,28.98
3-year,11.28,9.02,0,34.58,,3-year,6.88,9.02,0,30.18
,,,,,,,,,,
,,,,,,,,,,
DF,,,,,,DF,,,,
North,,,,,,,,,,
,SPEI,CMDA,MAPA,MATA,,North,SPEI,CMDA,MAPA,MATA
lag0,14.85,19.08,4.8,34.89,,lag0,13.86,18.09,3.81,33.9
lag1,11.11,14.35,0.99,28.3,,lag1,10.12,13.36,0,27.31
lag2,16.4,15.94,3.99,31.36,,lag2,15.41,14.95,3.01,30.37
2-year,16.78,17.79,0.28,38.64,,2-year,15.79,19.57,2.06,37.65
3-year,17.89,17.65,0,38.28,,3-year,16.9,21.06,3.41,37.29
,,,,,,,,,,
Centre,,,,,,,,,,
,SPEI,CMDA,MAPA,MATA,,,SPEI,CMDA,MAPA,MATA
lag0,9.01,8.66,1.32,25.96,,lag0,8.77,8.42,1.08,25.72
lag1,10.73,8.68,2.48,25.6,,lag1,10.49,8.44,2.24,25.36
lag2,8.74,7.03,0.24,24.78,,lag2,8.5,6.78,0,24.54
2-year,11.79,8.82,0.51,27.9,,2-year,11.55,11.35,3.04,27.66
3-year,13,8.36,0,29.55,,3-year,12.76,12.51,4.15,29.31
,,,,,,,,,,
South,,,,,,,,,,
,SPEI,CMDA,MAPA,MATA,,,SPEI,CMDA,MAPA,MATA
lag0,12.52,12.37,4.4,28.26,,lag0,10.59,10.44,2.47,26.33
lag1,12.19,11.87,4.08,28.72,,lag1,10.26,9.94,2.15,26.79
lag2,11.43,8.04,1.93,30.74,,lag2,9.5,6.12,0,28.81
2-year,14.86,12.07,3.03,28.86,,2-year,12.93,12.92,3.88,26.93
3-year,15.29,11,0,29.5,,3-year,13.36,13.47,2.47,27.57
